CLASE	NOMBRE_O_TEXTO	X	Y	ROT	CAPA
INSERT	A Buje	83311.946	95952.873	0.6727	0
INSERT	A Buje	83089.017	95999.495	1.318	0
INSERT	A Codo22.5	83036.047	95991.468	3.2687	0
INSERT	A Codo22.5	83033.152	95991.107	0.1332	0
INSERT	A Codo22.5	82950.001	96012.981	3.2574	0
INSERT	A Codo22.5	82930.75	96011.268	3.6219	0
INSERT	A Codo22.5	82923.593	96007.539	0.4803	0
INSERT	A Buje	82651.222	95700.155	0.8619	0
INSERT	A Tapon	82729.277	95677.501	1.2076	0
INSERT	A Tapon	83030.582	95872.925	5.5771	0
INSERT	A Tapon	82967.397	95798.121	5.5771	0
INSERT	A Tapon	82869.405	95679.173	5.5747	0
INSERT	A Codo22.5	82843.295	95656.594	3.9972	0
INSERT	A Tapon	82852.566	95585.271	0.6362	0
INSERT	A Codo22.5	82898.459	95565.32	3.5557	0
INSERT	CODO90	82999.281	95790.526	4.0426	0
INSERT	A Codo22.5	83138.791	95954.65	3.8314	0
INSERT	A Codo22.5	83149.344	95957.881	3.4501	0
INSERT	CODO90	83089.323	96000.679	1.318	0
INSERT	A Buje	83442.962	95964.969	1.4648	0
INSERT	A Codo22.5	83419.82	95916.762	4.5172	0
INSERT	A Codo22.5	83325.087	95933.83	5.804	0
INSERT	A Buje	83542.128	96198.293	4.6886	0
INSERT	A Tapon	83528.015	96229.075	6.2239	0
INSERT	CODO90	83552.208	96262.657	1.0432	0
INSERT	A Tapon	83596.657	96249.813	4.1696	0
INSERT	A Tapon	83597.951	96220.564	3.1097	0
INSERT	A Tapon	83596.841	96166.937	3.1096	0
INSERT	A Buje	83587.37	96167.229	6.2404	0
INSERT	A Tapon	83598.944	96014.145	3.2128	0
INSERT	A Codo22.5	83590.172	95949.439	1.7184	0
INSERT	A Codo22.5	83586.723	95928.513	1.4417	0
INSERT	CODO90	83551.089	95866.532	2.6198	0
INSERT	A Codo22.5	83614.185	95853.841	1.0638	0
INSERT	A Codo22.5	83616.293	95857.61	1.4537	0
INSERT	A Tee	83614.937	95867.526	5.3769	0
INSERT	A Buje	83616.352	95868.653	0.6705	0
INSERT	A Tapon	83613.637	95869.192	5.3481	0
INSERT	A Tapon	83620.179	95871.863	3.8251	0
INSERT	A Tapon	83507.817	95696.438	3.2717	0
INSERT	A Buje	83498.6	95695.361	0.1669	0
INSERT	A Tapon	83521.677	95631.231	3.5829	0
INSERT	A Buje	83512.987	95627.255	0.4292	0
INSERT	CODO90	83533.33	95597.559	0.4128	REDMENOR_ACUEDPROY
INSERT	A Codo22.5	83535.741	95592.056	1.5945	0
INSERT	A Tapon	83627.593	95587.848	3.174	0
INSERT	A Buje	83328.079	95598.308	1.4648	0
INSERT	A Tapon	83239.722	95585.249	4.7188	0
INSERT	A Buje	83239.731	95582.059	1.5813	0
INSERT	A Tee	83118.421	95578.264	0.0159	0
INSERT	A Tapon	82961.104	95580.834	4.7188	0
